timestamp,test_loss,epoch,train_loss,timeTaken
1526390636.106144,3.796219629270059,0,0.24888743791210077,168.68916702270508
1526390805.0261471,3.094824680575618,1,0.04219154246334147,168.91981029510498
1526390974.0746403,2.079148636555966,2,0.021459832802135273,169.04825353622437
1526391142.4217794,3.126874688230915,3,0.022107416420330296,168.34699416160583
1526391309.6239026,2.1636961496170657,4,0.028600728209917246,167.20203018188477
1526391476.6568377,2.882358686791526,5,0.01409967607780876,167.03241610527039
1526391643.741297,5.156742360856798,6,0.007856014602516531,167.08433032035828
1526391810.7524226,5.415309349695842,7,0.007557330309426011,167.01100373268127
1526391977.6839445,4.03066294355157,8,0.007928795383631776,166.93148183822632
1526392144.6298282,4.676312044078921,9,0.006520962140533654,166.94581604003906
1526392311.9132636,5.130450560722822,10,0.006895496883440832,167.2827272415161
1526392479.1697116,3.576756782369849,11,0.008415142150107042,167.25632238388062
1526392645.9901516,5.379087404704388,12,0.005304659429832848,166.82037830352783
1526392812.832546,5.286858201762776,13,0.006198155159430669,166.84234762191772
1526392979.6021023,4.999660979818414,14,0.004894622133295334,166.7695164680481
1526393146.6906853,4.228584045245324,15,0.006192222258235551,167.08793902397156
1526393314.180743,6.380494438571694,16,0.0036600929843841824,167.48998069763184
1526393482.0411463,4.202291587252676,17,0.0049727652941633305,167.86032128334045
1526393649.921655,5.945695148573981,18,0.00372820919234224,167.88045167922974
1526393817.7729685,5.499051905708549,19,0.005198287081528287,167.85125041007996
